,secs_polars_load,cpu_µJ_polars_load,gpu_µJ_polars_load,secs_polars_drop_duplicates,cpu_µJ_polars_drop_duplicates,gpu_µJ_polars_drop_duplicates,secs_polars_groupby,cpu_µJ_polars_groupby,gpu_µJ_polars_groupby,secs_polars_sort,cpu_µJ_polars_sort,gpu_µJ_polars_sort,n
0,3.3181707859039307,247054241.0,63119.0,0.025192737579345703,1690067.0,0.0,0.0010118484497070312,29601.0,0.0,0.019323348999023438,1085088.0,0.0,100000
1,3.2638368606567383,240720095.0,61873.0,0.01842665672302246,1439531.0,0.0,0.0009059906005859375,31065.0,0.0,0.011071205139160156,820087.0,0.0,100000
2,3.2591874599456787,241863819.0,62035.0,0.020711421966552734,1392476.0,0.0,0.0009257793426513672,35795.0,0.0,0.014148473739624023,971767.0,0.0,100000
3,3.272381544113159,241071030.0,61864.0,0.01603221893310547,1366277.0,0.0,0.0012869834899902344,34086.0,0.0,0.011236906051635742,711297.0,0.0,100000
4,3.3008103370666504,244274812.0,63193.0,0.016960620880126953,1282007.0,243.0,0.001008749008178711,34086.0,0.0,0.014162778854370117,894988.0,0.0,100000
5,3.3017022609710693,244629592.0,62798.0,0.01595902442932129,1287012.0,0.0,0.0014853477478027344,62299.0,0.0,0.011215925216674805,766287.0,0.0,100000
6,3.3019306659698486,243530405.0,63396.0,0.017284154891967773,1293741.0,0.0,0.00146484375,31233.0,0.0,0.010779380798339844,749656.0,0.0,100000
7,3.3408000469207764,246420408.0,62517.0,0.02258586883544922,1691929.0,0.0,0.0015037059783935547,66769.0,0.0,0.013679027557373047,907591.0,168.0,100000
8,3.296027421951294,243426560.0,62214.0,0.014829397201538086,1289896.0,0.0,0.001438140869140625,31172.0,0.0,0.01088094711303711,884690.0,0.0,100000
9,3.21242094039917,239593933.0,60032.0,0.019087791442871094,1315590.0,0.0,0.0008878707885742188,32621.0,0.0,0.01124262809753418,819599.0,0.0,100000
0,0.0,0.0,0.0,0.23953866958618164,18482504.0,4221.0,0.0009708404541015625,50291.0,0.0,0.19752883911132812,14591470.0,3233.0,1000000
1,0.0,0.0,0.0,0.23247170448303223,18848086.0,3507.0,0.0009369850158691406,0.0,0.0,0.19838857650756836,14793149.0,2672.0,1000000
2,0.0,0.0,0.0,0.22872519493103027,19003854.0,4031.0,0.000980377197265625,46857.0,0.0,0.20183658599853516,14800123.0,3237.0,1000000
3,0.0,0.0,0.0,0.23090481758117676,18852724.0,2943.0,0.0008943080902099609,45789.0,0.0,0.19948625564575195,14786345.0,2087.0,1000000
4,0.0,0.0,0.0,0.2307264804840088,18674083.0,4235.0,0.0010190010070800781,48704.0,0.0,0.2016301155090332,14897194.0,3401.0,1000000
5,0.0,0.0,0.0,0.22854018211364746,18808506.0,3571.0,0.0009052753448486328,47330.0,0.0,0.20246434211730957,15175194.0,2767.0,1000000
6,0.0,0.0,0.0,0.2295856475830078,18980647.0,4176.0,0.0008902549743652344,45881.0,0.0,0.2069385051727295,15293567.0,3576.0,1000000
7,0.0,0.0,0.0,0.2322852611541748,18814457.0,3212.0,0.0009412765502929688,45484.0,0.0,0.20264863967895508,14931998.0,2347.0,1000000
8,0.0,0.0,0.0,0.2319943904876709,18976482.0,3038.0,0.0009567737579345703,46842.0,0.0,0.20334839820861816,15023286.0,2183.0,1000000
9,0.0,0.0,0.0,0.22626185417175293,18614119.0,3055.0,0.0009007453918457031,45485.0,0.0,0.19924664497375488,14755706.0,2324.0,1000000
0,0.0,0.0,0.0,2.730591297149658,210209222.0,51545.0,0.0014081001281738281,37183.0,0.0,2.179450750350952,152261917.0,41222.0,10000000
1,0.0,0.0,0.0,2.7750296592712402,211756841.0,51650.0,0.0013518333435058594,31188.0,0.0,2.2254838943481445,154542865.0,42419.0,10000000
2,0.0,0.0,0.0,2.7875313758850098,211127372.0,52951.0,0.0013620853424072266,31233.0,0.0,2.203605890274048,152799212.0,41437.0,10000000
3,0.0,0.0,0.0,2.750013828277588,209604425.0,52054.0,0.0012803077697753906,31599.0,0.0,2.1985692977905273,152018765.0,41320.0,10000000
4,0.0,0.0,0.0,2.77021861076355,210662430.0,51341.0,0.0015103816986083984,31263.0,0.0,2.2067484855651855,153847055.0,42379.0,10000000
5,0.0,0.0,0.0,2.7668066024780273,210150220.0,52686.0,0.0015435218811035156,31233.0,0.0,2.2164270877838135,153844979.0,41594.0,10000000
6,0.0,0.0,0.0,2.8075575828552246,213848636.0,52261.0,0.0009031295776367188,31569.0,0.0,2.1914055347442627,153239970.0,40485.0,10000000
7,0.0,0.0,0.0,2.767906665802002,211774646.0,52075.0,0.0014026165008544922,62374.0,0.0,2.1834352016448975,152412299.0,40948.0,10000000
8,0.0,0.0,0.0,2.7702035903930664,211641002.0,51795.0,0.0014958381652832031,32668.0,0.0,2.1986846923828125,153881554.0,41394.0,10000000
9,0.0,0.0,0.0,2.8245158195495605,213986019.0,52342.0,0.0012772083282470703,32759.0,0.0,2.1978561878204346,152145513.0,41894.0,10000000
